round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
0,311807116.80444133,0.00039696287849436005,180592810.6435792,71239122.3605264,1.0000441665649524,202451745.27090216,ok,361185621.2871584,0.015981656329700833
1,202015460.8713551,0.0003569607358205829,191275735.03353572,378806900.35870284,0.25247129190678863,177869644.90418643,ok,382551470.0670714,0.02282358398961204
2,177415299.6349476,0.0006943146326181474,100205914.06180243,76253254.8267052,0.6570599136360314,144494655.01531383,ok,200411828.12349558,0.013604041957597346
3,143334808.7686818,0.0004908114648151167,142430848.31507212,567994475.3008627,0.12538048740670188,134405784.1769349,ok,284861696.63014424,0.012850131347199145
4,134493279.99240285,0.0008931542964453143,9202226.252915718,1059996.2657728097,1.0000027007867107,126351030.87766495,ok,18404452.505831435,0.007922606947775357
5,126287531.59892675,0.001216165351905927,6681900.879856558,366115.8265148944,1.0000172235458524,119971644.07129295,ok,13363801.759706818,0.00920743514821476
6,119915229.52520937,0.001401430741854213,5690210.496743929,210692.44755890296,1.000000124094506,114435710.82219203,ok,11380420.993487857,0.00909954064514551
7,114413487.84357989,0.0015603600714834214,5019943.118771708,138627.0037875849,1.0000035736459432,109532154.77990584,ok,10039886.237539068,0.00890993734188239
8,109576374.2926028,0.0016823450671434516,4563599.083591491,117008.82940714988,1.000008249891124,105129748.31985107,ok,9127198.1671829,0.008970738707643644
9,105142709.25214332,0.001809308079871562,4172564.198834247,85366.2672929072,1.0000053267669715,101055490.00377966,ok,8345128.397668472,0.008258210127087828
10,100974127.20155013,0.0018557183000900636,3963727.518913693,82080.73997591076,1.0000005873619124,97092478.190892,ok,7927455.037827385,0.008501534722726856
11,97022174.85787551,0.0019197193950472318,3673035.1304682475,66586.54225315596,1.0000063039794027,93415703.95444565,ok,7346070.260936494,0.006614057839622767
12,93424396.273725,0.002067554680623332,3388447.034650614,60457.40004182156,1.000010413053885,90096372.61413354,ok,6776894.069301123,0.0055214946333785875
13,90105042.01600301,0.002079121776521918,3239425.2737187734,55786.646727798754,1.0000005096480662,86921401.79490834,ok,6478850.547437534,0.004596395953733179
14,86946921.24758536,0.002270430978471012,3042308.592348286,50615.28910702643,1.0000016544577734,83955223.07845485,ok,6084617.184694231,0.004183396374416226
15,83930676.38883325,0.0023027167631352575,2915427.2889489434,45861.109070097766,1.000000440799044,81061108.96426792,ok,5830854.577897886,0.0014386491968716442
16,81098418.59567039,0.002369350937089294,2795416.5097952937,43671.308859661876,1.0000014189041282,78346669.55223761,ok,5590833.019590587,-1.9067540508732606e-05
17,78321951.05051923,0.002397435824524002,2707036.7314079115,43871.745029794474,1.000000393444907,75658785.03359354,ok,5414073.462815823,-0.00029353965110701097
18,75604695.66247807,0.002514356571357061,2541340.4935144037,38264.105114390026,1.0000011085745424,73101616.54164995,ok,5082680.9870288065,-0.0012530135356016991
19,73061323.29082513,0.0026430584355140187,2363919.3477908913,33521.68523854918,1.0000000491567744,70730925.51536578,ok,4727838.695581781,-0.0006841895402205367
20,70730466.78970791,0.002662632075587561,2314557.603753935,36430.80130764168,1.0000002972195559,68452339.32098573,ok,4629115.207507839,-0.002284353743348788
21,68464609.17301849,0.002842165157202258,2181317.1415586793,32435.953483943667,1.0000014200005563,66315724.9795904,ok,4362634.283117325,-0.002663321931620999
22,66334711.087644905,0.00298454178205025,2051045.261072033,33695.915974326315,1.000000195517827,64317361.35470759,ok,4102090.5221440652,-0.0026391238338114853
23,64316658.526106045,0.003065150164169467,1952187.8164975422,26107.160190270963,1.000002733656171,62390572.675924696,ok,3904375.632993646,-0.002904668718100467
24,62392663.92434232,0.003195528791570492,1874641.3751292606,25513.42186811558,1.0000000036270882,60543535.964466766,ok,3749282.750258521,-0.0032914247390367635
25,60575034.62011301,0.0032775700385644273,1814793.9715182423,26483.924496775995,1.00000055266217,58786723.5993969,ok,3629587.9430351,-0.0042097181512654736
26,58749099.58661151,0.0033776927517362573,1724679.7816408884,25672.322667318622,1.0000036441206848,57050086.0298031,ok,3449359.5632805326,-0.005708995930705729
27,57042161.10552649,0.003437779026137319,1669679.2955057276,22120.511948471205,1.000000470817738,55394601.55668407,ok,3339358.5910114553,-0.0048372164604328916
28,55408958.42463895,0.003641378551492936,1604666.9022401439,22617.958926736883,1.0000000110893421,53826909.46403248,ok,3209333.804480285,-0.006418805205719025
29,53827844.83852655,0.003647346594814758,1555496.388382497,21957.18104698551,1.0000002664000007,52294305.22850559,ok,3110992.7767649936,-0.006609585240243909
30,52297555.24440618,0.003931844966673861,1490082.187811083,19893.38826078055,1.0000001959133293,50827366.16072368,ok,2980164.375622144,-0.007629437455525245
31,50818893.580427706,0.004160536284105423,1408532.0634979792,21029.28292294453,1.0000000186958364,49431390.77430531,ok,2817064.1269959575,-0.008452703530386962
32,49436411.143734336,0.004040045383555949,1405838.6424996415,18407.17363110573,1.0000000155951962,48048979.6535156,ok,2811677.284999283,-0.008276683077272473
33,48029189.60373632,0.004249076951314198,1376268.1869145366,18426.022110889655,1.000000197298499,46671347.17466788,ok,2752536.3738290723,-0.008278357023960847
34,46693147.73144627,0.004470491008868827,1292911.3110046997,18885.396398314697,1.00000004874656,45419121.7556561,ok,2585822.6220093993,-0.00891192739645108
35,45426219.58843837,0.004533487459589667,1263472.4561194724,17444.039903288933,1.0000002437103224,44180190.872803494,ok,2526944.912238071,-0.009053467855084207
36,44180392.67854219,0.004675074471622572,1210922.9569721902,17167.330311154867,1.0000000712149875,42986636.96809043,ok,2421845.9139443804,-0.009600634552449083
37,42968459.82549268,0.004903241266999093,1144038.2821335625,18080.32606593249,1.000000016774536,41842501.85084092,ok,2288076.5642671245,-0.009546004171462563
38,41845537.01160775,0.005043325445210641,1145994.9244408517,19101.033727859725,1.000000233726185,40718642.86197456,ok,2291989.8488817033,-0.010013529753915229
39,40696850.39310254,0.005210200927918932,1084733.3481978658,14572.80118767315,1.0000010733532405,39626688.713073835,ok,2169466.6963957315,-0.00998487705133666
40,39642177.33499943,0.005608775164918461,1038523.5958229677,13801.998931697413,1.0000000072182356,38617455.730811104,ok,2077047.191645932,-0.01016715177388905
41,38611977.589698225,0.005491212070406443,1020151.5752233205,13304.43392654023,1.0000003600199379,37605130.09070626,ok,2040303.1504459204,-0.011321659559872188
42,37609859.154439,0.005836519253339264,968346.8612883354,14818.590023991172,1.0000000231960597,36656330.86140029,ok,1936693.722576669,-0.011298881834115981
43,36650425.40791395,0.0060947895056618386,937998.7675619302,21158.47800033723,1.000000007322803,35733585.11179346,ok,1875997.5351232218,-0.012993807499364074
44,35715417.54417174,0.006017630784298193,943137.3955262429,25131.840433492784,1.0000001029081622,34797411.897195004,ok,1886274.7910524858,-0.013982444787441928
45,34771230.78167958,0.0062902197660463935,939991.9716362266,28295.41152354826,1.00000044051683,33859533.83241383,ok,1879983.9432724533,-0.014109666331459714
46,33846981.66510742,0.006591532981157528,896083.194659629,30103.121776254702,1.000000002623151,32981001.590031415,ok,1792166.3893192578,-0.014930747486796125
