round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,300616441.3162829,0.0004181533312384444,172466645.37995985,59330260.90753793,1.0000496498706568,187477385.52304107,ok
1,187432845.3042134,0.0004665427186586381,151877431.45105803,350338258.89143366,0.21675827232178393,170972500.48121265,ok
2,170374942.98931968,0.0007494360670582823,94211837.63552266,71849466.52777506,0.6556196043508751,139491379.13143456,ok
3,139594100.59845835,0.0003728977730929929,169616970.36016104,659373704.1689345,0.1286197563595169,128686053.89737669,ok
4,128606881.55556081,0.001032595121163261,8108999.49763765,735537.9333743923,1.000000682894347,121233415.45829737,ok
5,121166277.94181624,0.0013231057984859497,6165302.403841067,270030.55922953546,1.0000172337351694,115270909.15336633,ok
6,115307375.44299594,0.0015207130522915187,5290761.471500337,151993.66465403177,1.000000437820606,110168605.45283718,ok
7,110191401.48320287,0.0016473257220784177,4749963.620079254,107580.00770119634,1.0000027741263984,105549005.29070725,ok
8,105493774.5180674,0.0017099915092552334,4408254.431010283,97743.72959531876,1.000011068808074,101183217.18635534,ok
9,101197310.41832827,0.001801636665638921,4069977.983878879,83868.15045938245,1.0000002271087798,97211199.69867544,ok
10,97205320.80520536,0.001915725562223687,3788701.8935908256,71979.8325641275,1.0000001270534324,93488598.28110164,ok
11,93518287.7051971,0.0020465823454884013,3555779.282949747,66178.61610429097,1.0000001352945755,90028686.5751812,ok
12,90018010.50551665,0.0020335258929845643,3411296.9602146316,63276.42501540588,1.000006477955429,86669968.69189414,ok
13,86646684.45418982,0.002176244875458209,3133806.559679945,51345.22262735683,1.0000017708375635,83564217.74952312,ok
14,83581325.73216556,0.0022692579251433805,2967826.7702429714,54269.8970611896,1.0000002463128046,80667768.1547048,ok
15,80640961.78255516,0.0023011926002617857,2830996.107692998,46630.98210850583,1.0000008737301522,77856594.26492983,ok
16,77926264.32384111,0.002370157544799598,2677647.2129760617,41061.19951338184,1.0000008676576224,75289676.05835158,ok
17,75355419.32253262,0.0025667648338343245,2543980.617859521,39577.60441843422,1.0000004702725427,72851015.14995183,ok
18,72869956.08393717,0.0026776561778966796,2388557.813628409,36058.20837061739,1.0000009660102047,70517454.24097338,ok
19,70479954.83511552,0.002725861578533682,2309085.714644513,34008.205182178746,1.000000379083724,68204876.4761003,ok
20,68185510.2820738,0.002814287502938836,2206361.0353325456,29696.057701519225,1.0000009887406067,66008843.18164745,ok
21,66036987.47484214,0.0029680259406617442,2086231.3316639075,28884.447787242396,1.0000018879078256,63979636.76141547,ok
22,63985725.13911207,0.002983789516898586,2044668.5559656236,30483.790202960896,1.000000025367263,61971540.32302835,ok
23,62005286.342363626,0.0032844636261438755,1843417.2725688536,25190.723032479895,1.0000011333124386,60187057.760757476,ok
24,60124923.960692644,0.0032002647547179942,1862755.7793746558,27164.572357536534,1.0000003645484163,58289332.09441646,ok
25,58284653.89814941,0.0033349923291555628,1786289.0025452161,29381.396972080496,1.0000000443680594,56527746.215929285,ok
26,56503037.73673579,0.0035361186764795247,1659725.9912007982,23386.365527185313,1.0000001244519985,54866697.91032692,ok
27,54850526.21494052,0.003475488488729183,1696094.6806019465,27289.826478659033,1.0000002196847837,53181721.00020135,ok
28,53171693.424900025,0.003565086462427612,1645595.5760818082,26692.42452700164,1.0000002437358206,51552789.88526643,ok
29,51506011.80678342,0.0037251628254346618,1559697.392320696,21360.503893783964,1.0000016894877106,49967672.35544361,ok
30,49972561.06737349,0.003856228907088462,1501508.332974804,19617.03952855493,1.0000000898460806,48490669.64254763,ok
31,48494653.99373722,0.00415195999477577,1431428.60649887,21525.24788218991,1.0000001685558833,47084750.40110125,ok
32,47086784.67800067,0.004378376060648031,1371133.6407100358,20790.94036532037,1.0000000796408686,45736441.8717693,ok
33,45710792.34601468,0.004442254328418842,1309141.7473615613,20705.355402275076,1.0000025484955575,44422352.723248616,ok
34,44413343.795748845,0.004439351529025184,1307520.3798723528,22664.286136879204,1.0000038269272273,43128482.87169751,ok
35,43115881.03932415,0.004911027115499176,1194819.764122229,18153.67460630112,1.000000008082893,41939214.94044409,ok
36,41926098.242364556,0.005013700720807806,1176241.370429269,19567.80780846165,1.0000000290938114,40769424.646661006,ok
37,40786097.4361649,0.005363845877863939,1107327.2707119882,27869.48802401143,1.000000062224437,39706639.58804244,ok
38,39701544.965241686,0.005491370994798724,1071875.7557787504,19873.66733140857,1.000000016819292,38649542.85943467,ok
39,38646316.0626532,0.005410037605073154,1069826.3591244374,22597.90621421611,1.0000010150139402,37599086.56972871,ok
40,37594663.95324125,0.0057649521808761876,1012229.9639050288,17763.610385222986,1.0000001638645486,36600197.4396745,ok
41,36604423.664277956,0.005741882787431373,985237.5303228688,22553.77055088648,1.0000003072341725,35641739.61566591,ok
42,35613800.96878815,0.006006597148767358,974615.2742876756,29893.337590764193,1.0000000224803383,34669079.01152558,ok
43,34659857.37191002,0.006510024100459303,952976.6205775698,58869.51992353104,1.0000000370652966,33765750.24029765,ok
44,33785399.41914234,0.006503871205733543,1018509.4514887775,500150.7877384483,1.000000001585387,33267040.755363148,ok
45,33299368.30939608,0.001971490424765476,2715441.259281678,5285174.766758737,0.25689228635924455,32950580.352610532,ok
46,32941071.815590646,0.006904185258271953,783707.6217920468,22563.69893557985,1.000000039960638,32179927.863220043,ok
47,32169053.937347803,0.007410283664012553,793843.2738241991,15887.575913044784,1.0000000066002046,31391098.234406844,ok
48,31389359.771583863,0.007306253471377406,770900.6327716245,14832.262036321146,1.0000000360176173,30633291.374151,ok
49,30641170.58372377,0.0076153409428867105,760886.9751228333,15490.973132445159,1.0000000022355018,29895774.580101676,ok
50,29897515.849039797,0.008209043612702317,716585.3048222016,31656.267628223635,1.0000000001376952,29212586.811755866,ok
51,29207065.161478348,0.008107749636440242,761023.1980476265,102321.35275806434,1.0000000956042516,28548363.262996446,ok
52,28541583.0972625,0.006405108598014225,815345.7571837835,654371.0483965257,0.6229995651409939,28287603.07117998,ok
53,28292095.371286735,0.004412800992398348,1464191.0831056486,5321330.787781825,0.13757752914623736,28191375.475580923,ok
54,28191786.331273124,0.009516196691901783,599210.1871684436,40087.17065677508,1.0000000002444576,27632663.314634573,ok
55,27635767.2832165,0.008102830884242568,780407.90447045,854033.448946777,0.45689539761754966,27457484.893308047,ok
56,27439380.269385513,0.005801945978364337,813768.5761016766,994465.1002841159,0.40914888610429123,27272904.016156174,ok
57,27265664.18712087,0.007970947345063362,771883.663251283,1129642.9857452658,0.34164938524450883,27133807.39760583,ok
58,27115360.007773653,0.0069325461083243976,726815.1094837654,754519.7105705517,0.48164090301508716,26940328.064945266,ok
59,26950880.380236685,0.006287441222332547,971615.6795179027,2583987.9292648872,0.18800700818179042,26859545.101732343,ok
60,26852410.966901165,0.009093332914689521,601675.1357074298,118009.05651992683,1.0000000050570046,26368744.885864533,ok
61,26350607.261852298,0.006203906654569413,1017952.8176292388,3003053.786455055,0.16948627797154409,26264342.744746983,ok
62,26262756.53394308,0.010043648276251928,563326.0340154236,159553.63349864152,1.000000002230374,25858984.132881597,ok
63,25846472.120960828,0.004878021775572553,1296088.8760980016,4719377.719788244,0.13731565399645065,25757485.475131366,ok
64,25762782.956480667,0.011238285137696402,495769.6159855883,14751.529932625068,1.0000000004158223,25281764.87023382,ok
65,25294789.148242243,0.010648643516640173,581898.5573290344,59971.54131625105,1.0000000036341201,24772862.130550656,ok
66,24778941.15630122,0.008785036344015553,738520.3648021109,691115.117163055,0.5342962022257948,24581646.843211133,ok
67,24560668.360888492,0.0060633030911592676,1204004.7190294047,4707455.945198748,0.1278827388982152,24483682.650330562,ok
68,24480389.73317036,0.010953900340462428,491532.8085341725,25595.13779448997,1.0000000034219154,24014452.060923863,ok
69,24011517.270964414,0.0096452227092964,654946.6188302406,995397.3761180438,0.32898751520948893,23903782.640602503,ok
70,23911515.100519508,0.004887534057018101,1125794.8838953257,4469443.713410057,0.12594351289373062,23840621.819281727,ok
71,23851414.671763614,0.012474250129378089,461344.4434860607,74033.4731559462,1.0000000005483962,23464103.7012617,ok
72,23476993.161354244,0.005470099872334064,961677.7380608793,3343238.507685749,0.14382427934023923,23407836.857537165,ok
73,23419992.45756365,0.012069202589672508,495322.79105514486,521077.1755538664,0.4752873607720905,23302282.12651822,ok
74,23289099.022595022,0.0050512946737429195,1005571.2592459499,3745840.1980149546,0.13422506114633984,23221612.590715375,ok
75,23222637.69809539,0.013425285046220252,409454.83078974404,16345.02522919378,1.0000000001404474,22829527.892481923,ok
76,22825089.721529074,0.011953731091719239,453929.99264152517,32328.06164279445,1.0000000010779764,22403487.790110715,ok
77,22397782.810420774,0.010618086279547499,586740.1409633447,931029.7017823886,0.31510280490518905,22305341.078336768,ok
78,22298582.629433382,0.0064696891083380545,849765.0169783342,3939705.679574564,0.10784625630588952,22252760.64152297,ok
79,22247622.45526005,0.01399726021481445,409327.2642010121,94910.19113458513,1.000000000117349,21933205.382167865,ok
80,21926178.549498122,0.0055124459380063,917155.9197252176,3342274.120132077,0.13720537076847758,21863259.190488923,ok
81,21870351.231746808,0.014258920138944439,419052.9847926089,170102.5934303205,1.000000001093685,21621400.840298284,ok
82,21582934.935030207,0.004184877746293889,1161111.8479014705,3932707.2202762584,0.14762246244965913,21497231.839946862,ok
83,21492564.57088387,0.014448685457506652,372999.71070903784,32941.89851624091,1.0000000007466017,21152506.75846178,ok
84,21155922.404053446,0.013659003016778592,504593.18989569717,636564.6066598435,0.3963409091681821,21055926.94223178,ok
85,21057367.818053972,0.005074473689891142,920176.2491391858,3367939.5516086845,0.13660818952342343,20994516.012335293,ok
86,20993335.293569356,0.016451958419834548,335228.53298786335,63677.36081917421,1.000000000220095,20721784.121354915,ok
87,20718670.31899728,0.0070868586032042475,863303.5410647771,4347301.56893727,0.09929188571059012,20675810.800730802,ok
88,20677152.998037063,0.015240749872846458,426208.6871742622,334851.19098569266,0.6364150683168288,20541530.182654448,ok
89,20559355.90850769,0.0038538273642526816,1688341.6178785288,7653003.791706455,0.11030581349692922,20466238.960697286,ok
90,20470388.318548672,0.014591897147568459,389737.32916399447,106630.37967025772,1.000000004963373,20187281.368179016,ok
91,20178607.076668646,0.005185574227825896,1031666.1047471289,4634980.214201504,0.11129131701426909,20121199.3369105,ok
92,20125877.349437904,0.01678663809183658,335444.5345540944,55009.36266302984,1.000000000070254,19845442.177531004,ok
93,19846761.01805886,0.010273637050136512,572810.710856084,1871806.2794378905,0.15301014777771257,19802938.092300486,ok
