round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
0,5045593993.881101,3.984739634980554e-05,958081288.359744,155238924.58575282,1.0000563869587689,4242715114.212266,ok
1,4239192116.553449,5.726171145399981e-05,657092026.8068477,123151220.14806288,1.0001059761412447,3705207777.382527,ok
2,3707676459.1236773,8.809191227728909e-05,417097501.86574286,102672795.62218805,1.000022112793077,3393247070.5041437,ok
3,3389999762.540493,0.00015904012725320452,224558040.1501403,60127055.38135334,1.0000011457790712,3225568658.2625256,ok
4,3225459087.461817,0.00020632259683750552,165843907.50912,33651861.72759826,1.0000000000208273,3093267041.6782427,ok
5,3093629301.634095,0.00017739066062022287,194755238.34607178,21708538.115865342,1.0000000115551868,2920582599.655148,ok
6,2921236428.7582436,0.00018476110649670965,178154123.37209275,18784520.553923704,1.0000000000483087,2761866825.933283,ok
7,2762526069.9083815,0.00017064556253552964,195759311.4268093,11164619.77249139,1.0000000065344772,2577931377.1207886,ok
8,2578678425.006687,0.0001714476096254581,186696376.93896127,8547345.651916128,1.000000000013452,2400529393.7173605,ok
9,2400315316.2057147,0.00016894675538129306,189339574.22434932,6100621.303216392,1.0000000000651692,2217076363.2730374,ok
10,2215005062.377577,0.00017005092570213806,184125453.99950516,6355743.010594427,1.0000000023948492,2037235350.9781556,ok
11,2036751713.5889578,0.00016962076385148997,182754672.14965034,6788419.129836588,1.0000000001334626,1860785460.546565,ok
12,1860114657.4254057,0.0001743366845916026,175974868.79466686,6769413.713677183,1.0000000000472777,1690909202.3367364,ok
13,1691773774.0394084,0.00017802478080742212,169281087.07768625,7224772.466682669,1.0000000222083933,1529717455.989845,ok
14,1529734573.5400302,0.00019008871890752188,157371692.0091309,7034612.241888975,1.000000001786837,1379397493.51673,ok
15,1379260590.1956224,0.00020095639174871015,146699611.31970403,7419450.052695734,1.0000000009852819,1239980428.7986944,ok
16,1239199625.8492258,0.0002181957688062757,134851101.99213293,7389762.9578678,1.0000000013370596,1111738286.6544178,ok
17,1112331607.6659243,0.00023482945199229804,122327541.33030042,7258216.789471259,1.0000000019192696,997262282.9181767,ok
18,997621915.4025563,0.0002599403836391034,110205276.20699382,6814104.3204458095,1.000000003655933,894230743.162929,ok
19,893495779.5175711,0.0002954953144284221,96379757.28425896,6721608.233112939,1.0000000015801733,803837630.3353709,ok
20,803768390.831967,0.00033388325543571846,85187605.26079927,6698976.5800357405,1.0000000072721194,725279761.6291405,ok
21,725445663.4126967,0.0003781065878443015,74932132.33637935,7699754.556913246,1.0000000079395808,658213285.1605664,ok
22,657475450.5210737,0.00041463605156806613,67783035.87835455,19631645.427353892,1.0000000167497842,609324059.5923735,ok
23,608339695.7404605,0.00022655270114897328,113669084.53620028,489566962.5096281,0.11609145759500142,601741690.886812,ok
24,601397789.0138284,0.0003468356669439215,22283744.52841822,1953520.681857232,1.0000005689627651,581067554.7116082,ok
25,581375494.2575214,0.0003986525673560215,19326991.989758138,1116942.4485910586,1.0000205338238508,563165093.7299751,ok
26,562987743.9257767,0.0004451180894481577,17081016.783416543,670736.62463154,1.000039671903589,546576839.3503938,ok
27,546714381.3252993,0.00047890995999052985,14525202.31817291,458827.50363900844,1.0000009468869533,532647993.6259567,ok
28,532443336.20448416,0.0005186955826323624,14541041.70597275,456900.943931018,1.0001014014361227,518357813.62545246,ok
29,518526568.39221513,0.0005478733262137374,12936288.074261228,359109.95264808845,1.0000031940612324,505949351.2453478,ok
30,505857580.3896102,0.0005944665401921408,12373758.056168225,362973.8416266416,1.00009753766813,493845660.07825917,ok
31,493922659.67873806,0.0006331822755219603,11367323.812028496,325309.2136845093,1.000021824558582,482880411.19318455,ok
32,482884376.5031984,0.0006781679230108719,10687145.089750227,319622.88856566884,1.0000039351703565,472516814.76182324,ok
33,472456091.9440088,0.0007292131088234528,9762512.392005492,283748.55477163,1.0000071182661685,462977262.65422314,ok
34,462842831.50370747,0.0008036564754761077,8953773.554332925,250581.6030384792,1.0000002683332652,454139637.2842965,ok
35,454044917.7421061,0.0008422818149827772,8150216.354158798,207337.33594971127,1.0000287270871704,446101816.5044879,ok
36,446297957.4503053,0.0009133720418167651,7717179.282048598,220176.5548732016,1.000001254422269,438800945.5949175,ok
37,438754870.1534606,0.0009728171452512123,6982649.053653848,190576.62623351198,1.0000010675518285,431962790.67860156,ok
38,431981727.2991909,0.0010301855278843362,6455803.882757876,178691.50392022615,1.0000052349266835,425704582.995572,ok
39,425690420.33170223,0.0010742479904175305,6264017.592505772,173845.34721987153,1.0000003676231803,419600245.91143745,ok
40,419691400.22809184,0.0011295763606626221,5712672.090041504,155233.23673232488,1.0000007738695804,414133957.19418013,ok
41,414119625.04109764,0.0011712294778108122,5518858.157216846,188438.68721697055,1.0000013048065395,408789198.86180794,ok
42,408828203.8553828,0.0012514675294287674,5016953.303333563,247985.63769539888,1.0000164948391346,404059161.61694086,ok
43,404067891.51701844,0.0013131190502264857,4861161.1598460935,187373.65834748678,1.000004293901567,399394084.75130385,ok
44,399475679.7506459,0.0013843951550596382,4618055.213173195,152268.30542292644,1.0000003374212962,395009891.38742256,ok
45,395070161.3521717,0.001430447514913198,4280079.421031877,139679.37683002005,1.0000016497453255,390929754.70780003,ok
46,390961202.588593,0.0014845666974156824,4039542.1832849896,179146.71722010133,1.0000008139019463,387100804.1263527,ok
47,387224403.55983824,0.0015303323782754979,3850570.302379314,333082.85513122065,1.0000000000908853,383706916.11230075,ok
48,383653790.8735399,0.0015371033308747132,3791266.1196393627,514809.6498338408,1.000005886394756,380377318.1476089,ok
49,380381175.10084975,0.0015719378653532648,4006736.1637555994,1339055.7249831986,1.000000038111103,377713494.61144197,ok
50,377672404.5687138,0.0013633089144798893,4232701.5138874315,2421810.143209873,0.8738714563886909,375822986.0505141,ok
51,375798040.18113655,0.000981514474455538,5342927.217335584,14197740.228074579,0.18816118380481747,375295374.4260381,ok
52,375302023.49492586,0.001738480285987235,3285244.7545890966,299761.3485536533,1.000019141642887,372316488.6798677,ok
53,372265724.5768037,0.0018047034241765148,3276241.1134227975,480079.5783960288,1.0000012340178466,369469560.1836912,ok
54,369404770.96847045,0.0016979669030945817,3268350.906930006,1467777.3987020543,1.000009029272469,367604194.4554554,ok
55,367603357.0635463,0.0008285703323268194,5557703.386392973,15962434.514011726,0.17408695965250337,367119595.2209525,ok
56,367095026.5640518,0.0018815215275224911,2944784.604527792,443618.62275845255,1.0000183454978622,364593822.8357011,ok
57,364625704.30137277,0.0018214930417989785,3032091.139736548,751467.2771756289,1.0000000063971086,362345080.4290297,ok
58,362442795.6091979,0.001568514603447067,3739915.1180071505,8092378.191672571,0.23107639246616618,362010692.5623985,ok
59,361980050.02215785,0.0020243170692612394,2629657.066374499,624146.9867645429,1.0000010903911953,359974538.4363225,ok
60,359946972.4423157,0.001496032072742604,3590532.6367486743,9599738.927621398,0.1870119939625446,359611236.10842276,ok
61,359594608.5699953,0.002154913483797694,2404646.344273329,488842.5295040484,1.0000004311262913,357678804.14002556,ok
62,357685146.36542016,0.001792283225055848,3500365.1089125327,9239045.191311993,0.1894332713192121,357353603.5587237,ok
63,357347137.09238887,0.0021554547868535365,2297782.4715627274,510315.95415594656,1.0000000012933743,355559670.5733302,ok
64,355622976.5591766,0.0014627670991889756,3610790.3079152433,12989581.407345083,0.13898793943712026,355372048.4068583,ok
65,355380354.71655697,0.00222069828180877,2259364.4788547,454003.6576298975,1.0000001338835045,353574993.71440774,ok
66,353586342.26397854,0.0018293475834574148,3102686.051542949,3659359.493776995,0.4239384046332822,352928668.376594,ok
67,352765424.2523705,0.0021700466516656873,2318394.259993309,1244915.4353356988,0.9311452787024608,351686043.31768864,ok
68,351646473.7526985,0.0014912035103357938,3555998.912201191,5665430.946534188,0.3138330469261622,351088478.7659574,ok
69,351071470.8214611,0.0023883862513598,1911916.7841642569,194465.86341171502,1.0000008384346668,349354018.6237852,ok
70,349309759.33539647,0.0024024355704175843,2116685.3240417307,484245.98662789556,1.0000020746991494,347677317.61582893,ok
71,347695496.4023686,0.0020480699876388687,2641890.338579772,1371802.3633586075,0.962926733888833,346423522.9848581,ok
72,346400187.07151103,0.001163033833096043,4581880.460466801,25703123.405004486,0.08913081084096365,346195993.71120214,ok
73,346212586.1392772,0.0022902511882208765,2103276.4272309793,1031539.6791931327,1.000001870898694,345140849.3160383,ok
74,345130468.045911,0.0015475969774980329,3089495.274199354,6246770.225568885,0.24728741114517286,344748471.40186,ok
75,344765283.1953382,0.002537609042457711,1999330.4942598976,595677.0508259531,1.0000000190281544,343361629.73652995,ok
76,343345799.97369885,0.0014913709056450996,3860994.1301162024,16282702.484264238,0.11856121960858478,343116917.8872148,ok
77,343084364.7110443,0.0027198337182044352,1661746.4232553141,218233.96606382,1.0000001671611256,341640852.0490339,ok
78,341624606.2891336,0.0027123378885369562,1744223.9784812315,309792.3937610858,1.000000168660813,340190174.51473093,ok
79,340205597.2842467,0.002602181172651957,2144714.4033520557,1778723.5945121916,0.6028801804757742,339559094.3809657,ok
80,339531688.3324842,0.0021560647529957015,2162580.6016101358,1849869.0389643258,0.584522621888111,338899649.6908354,ok
81,338878008.73115087,0.0026811048303268226,1787354.0180978784,1420953.0809815116,0.6289278801743681,338315950.3442892,ok
82,338225141.98193496,0.0019309568799277953,2027559.5934302928,3547970.928793316,0.2857350911440355,337935469.51932055,ok
83,337941828.61304945,0.002982565686203535,1508383.4563530372,507814.6989270832,1.0000002270995987,336941259.7437193,ok
84,336974791.28023493,0.001734007782277325,2510319.3902421733,4757538.603326832,0.26382543575019735,336643648.22673357,ok
85,336656550.091241,0.0029107684650847634,1511069.1037362244,336602.53827071807,1.000004280524813,335482079.9392839,ok
86,335468869.34117126,0.002652925944170739,2069835.26278478,4534151.450842218,0.22824946246560737,335232649.9481098,ok
87,335204671.87731147,0.0032618495620198116,1300076.6194105279,272626.21329313354,1.0000022075600583,334177219.8048757,ok
88,334139146.86965585,0.0029604101626828474,1802373.179533939,2071110.0771291305,0.43512249769753886,333747020.3098249,ok
89,333748726.8201508,0.0027268591440687954,1519594.721814804,1004942.2242296127,0.7560607392030537,333174273.8658186,ok
90,333184506.4990485,0.001605145841465847,3063751.3636753564,14314814.823798826,0.10701330759032154,333020575.4155178,ok
91,333017471.40094185,0.003134980488859443,1506853.9338341518,1495708.2971261651,0.503725872461028,332637950.74469584,ok
92,332646553.16309094,0.0024344806434547605,1717291.2577402024,2349102.8101755492,0.3655206682103174,332332700.43907046,ok
93,332281884.9613554,0.0031728595795786486,1231548.1700639343,369801.7907493047,1.0000000009582537,331420138.5815693,ok
94,331408575.23995245,0.0020266164768808657,2297094.9229078013,9212436.606944902,0.12467358099246566,331265381.7149932,ok
95,331254478.24277663,0.0031679755648481326,1355510.488587995,776684.4855758682,0.8726262167982921,330663051.24803317,ok
96,330729672.32085496,0.0013192019076074736,2876935.0971793737,20872671.61098462,0.06891631197956793,330630538.44250387,ok
97,330621283.79068035,0.002693575801653707,1750446.4745197692,4279133.403957222,0.2045328235035867,330442271.9107677,ok
98,330396757.740315,0.0032172093649622665,1284350.3708491786,1064780.4961365352,0.6031056990193443,330009458.2262166,ok
99,330002083.22412825,0.0013100655167066083,2363166.77564416,9540369.633561295,0.12385090234507092,329855743.05535054,ok
100,329873703.7272002,0.0034213031711832504,1221197.7209188512,1525538.6857949656,0.40025131197590025,329629310.73221034,ok
101,329743186.99995804,0.0013502268348473455,1626190.213457981,4306305.363926346,0.18881501380283847,329589662.43615794,ok
102,329573371.7371838,0.003764630654915494,1028941.8738202037,131977.1231919985,1.000000234233574,328676406.8073698,ok
103,328670239.8621408,0.0031851838043378284,1465840.9604357816,3201839.3544494794,0.22890607525308163,328502469.91154146,ok
104,328498907.43114126,0.002673241971996652,1655310.2894472661,6122327.090965884,0.13518636499263856,328387019.7406586,ok
105,328407045.5519443,0.003625100429528559,1065557.969392633,306591.76512955106,1.000000082610916,327648079.3103102,ok
106,327682878.9642816,0.001413116429074299,2905432.2267121538,17613459.594359446,0.08247761353035359,327563062.4061149,ok
107,327554576.2479089,0.003350587637393779,1275643.5774958907,1356224.44092757,0.4702922093866089,327254613.62968373,ok
108,327224672.18210196,0.0030204779144676936,1307864.7228640239,1439104.4837284575,0.4544022819926128,326927523.8247984,ok
109,326987342.11560273,0.0025327943691074886,1842491.93140321,15431991.610884337,0.059697153091493455,326932346.35415334,ok
110,326928272.7975664,0.004017067675405831,934359.7784139528,82915.38143993869,1.000000000575468,326076828.4001501,ok
111,326094508.8169554,0.0037227563212595257,1410653.178557593,3322820.5102367825,0.21226743578410598,325944790.9504588,ok
112,325948472.7482445,0.001991285833191009,1786650.910125468,8504671.815893212,0.10503938004913027,325854638.3962626,ok
113,325828522.44587576,0.004028609025911949,941922.6726395038,111895.11322645044,1.0000002787039561,324998494.6863164,ok
114,325028823.2130745,0.002616699416722179,1965473.5346591906,13980001.922675526,0.07029589643586522,324959740.85105455,ok
115,324960541.12350047,0.003776173365295758,1192961.204531692,1093746.0520063662,0.5453556620128254,324635247.04977393,ok
116,324618624.76036793,0.003594335379379625,1129194.4756237464,494700.3560747136,1.0000000040686061,323984130.64025015,ok
117,324016262.969069,0.0029220823961064106,2557981.214777322,86947896.79756057,0.014709851008432267,323997449.2077932,ok
118,324001629.47549707,0.003343589975849938,1578507.0551585471,3617290.9240200254,0.21818912112884406,323829422.9419667,ok
119,323818557.23973936,0.00421599643066861,761904.8436783333,168506.72202351634,1.000013790788099,323225153.2585293,ok
120,323225319.2925747,0.003971203678050285,989987.9644696484,491158.3871728667,1.0000046325741114,322726489.6797511,ok
121,322719168.4207074,0.0019456330589083075,2682755.8473059665,20080215.078255653,0.06680097391514132,322629563.0690191,ok
